id,name,categories,transactions,price,rating,review_count,location,phone
Aht9pF46AQ6xJ5opLJ86BQ,Jodeem African Cuisine,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'african', 'title': 'African'}]","['delivery', 'pickup']",,4.5,26,"{'address1': '8145 Baltimore Ave', 'address2': '', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8145 Baltimore Ave', 'College Park, MD 20740']}",+12409656375
tRhgp6syOtfBJ6MVWfw_kw,Kangnam BBQ Sports Bar & Grill,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]","['delivery', 'pickup']",$$,3.5,388,"{'address1': '8503 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8503 Baltimore Ave', 'College Park, MD 20740']}",+13012201635
4EAHGaY2wbkQma_yTBhLiQ,Busboys and Poets - Hyattsville,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","['delivery', 'pickup']",$$,4.0,1663,"{'address1': '5331 Baltimore Ave', 'address2': 'Ste 104', 'address3': '', 'city': 'Hyattsville', 'zip_code': '20781', 'country': 'US', 'state': 'MD', 'display_address': ['5331 Baltimore Ave', 'Ste 104', 'Hyattsville, MD 20781']}",+13017792787
g5dSvFcE560E0ieZt-08Yg,SEOULSPICE,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","['delivery', 'pickup']",,4.5,88,"{'address1': '4200 Guilford Dr', 'address2': None, 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['4200 Guilford Dr', 'College Park, MD 20740']}",
298_2BlF7sqUMnEo8W7XLQ,Marathon Deli,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'pizza', 'title': 'Pizza'}]","['delivery', 'pickup']",$$,4.0,442,"{'address1': '7412 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['7412 Baltimore Ave', 'College Park, MD 20740']}",+13019276717
ym7A7VKJ_rHD-N31xen-Dg,Tacos A La Madre,"[{'alias': 'tacos', 'title': 'Tacos'}]",[],$,4.0,56,"{'address1': '5010 Berwyn Rd', 'address2': None, 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['5010 Berwyn Rd', 'College Park, MD 20740']}",+12402979546
O73PF6AH2xdfPoktVCHn3w,The Jerk Pit,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","['delivery', 'pickup']",$$,3.0,661,"{'address1': '9078 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['9078 Baltimore Ave', 'College Park, MD 20740']}",+13019825375
XOGy2NVpKkoINMNG59VkDg,Sardi's Pollo A La Brasa,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]","['delivery', 'pickup']",$$,4.5,944,"{'address1': '10433 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'Beltsville', 'zip_code': '20705', 'country': 'US', 'state': 'MD', 'display_address': ['10433 Baltimore Ave', 'Beltsville, MD 20705']}",+13015953222
rrFDwVaxPNEhPN9LWh1u4Q,Yia Yia's Kitchen,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]","['delivery', 'pickup']",$$,4.5,558,"{'address1': '10413 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'Beltsville', 'zip_code': '20705', 'country': 'US', 'state': 'MD', 'display_address': ['10413 Baltimore Ave', 'Beltsville, MD 20705']}",+13015951855
094fHChJkrJqztSFCn3ezA,Taqueria Habanero,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","['delivery', 'pickup']",$$,4.5,1000,"{'address1': '3710 14th St NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20010', 'country': 'US', 'state': 'DC', 'display_address': ['3710 14th St NW', 'Washington, DC 20010']}",+12027227700
p2oakVfLO3gSkwRjM3G7gQ,Ritchie’s Colombian Restaurant,"[{'alias': 'colombian', 'title': 'Colombian'}]",[],,4.5,32,"{'address1': '7313 Baltimore Ave', 'address2': 'Ste H', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['7313 Baltimore Ave', 'Ste H', 'College Park, MD 20740']}",+12407647422
Sd9A-WKorTYI02gRvWMNjA,Thip Khao,"[{'alias': 'laotian', 'title': 'Laotian'}]",['delivery'],$$,4.5,1312,"{'address1': '3462 14th St NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20010', 'country': 'US', 'state': 'DC', 'display_address': ['3462 14th St NW', 'Washington, DC 20010']}",+12023875426
kClUGhspIXDm6ncyDciHzA,Cielo Rojo,"[{'alias': 'mexican', 'title': 'Mexican'}]","['delivery', 'pickup']",$$,4.5,370,"{'address1': '7056 Carroll Ave', 'address2': None, 'address3': '', 'city': 'Takoma Park', 'zip_code': '20912', 'country': 'US', 'state': 'MD', 'display_address': ['7056 Carroll Ave', 'Takoma Park, MD 20912']}",+13017550833
Wu7wEakuGfBWsrNmFZ1KdA,Looney's Pub,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}]",['delivery'],$$,3.5,337,"{'address1': '8150 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8150 Baltimore Ave', 'College Park, MD 20740']}",+12405424510
VJIhL8LDHG3IuzKpjZ0pmA,Huncho House,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'salad', 'title': 'Salad'}]",[],,4.0,88,"{'address1': '6451 America Blvd', 'address2': 'Ste 101', 'address3': None, 'city': 'Hyattsville', 'zip_code': '20782', 'country': 'US', 'state': 'MD', 'display_address': ['6451 America Blvd', 'Ste 101', 'Hyattsville, MD 20782']}",
pzzLlOq3uQGI6FEsuGfA5A,Hook & Reel Cajun Seafood & Bar,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'southern', 'title': 'Southern'}]","['delivery', 'pickup']",$$,4.0,304,"{'address1': '6002 Greenbelt Rd', 'address2': None, 'address3': None, 'city': 'Greenbelt', 'zip_code': '20770', 'country': 'US', 'state': 'MD', 'display_address': ['6002 Greenbelt Rd', 'Greenbelt, MD 20770']}",+12402414825
eKOK-A_bK_wW8FpOzqznVg,Riviera Tapas Bar,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'bars', 'title': 'Bars'}]","['delivery', 'pickup']",$$,4.5,122,"{'address1': '6202 Rhode Island Ave', 'address2': 'Ste 116', 'address3': None, 'city': 'Riverdale Park', 'zip_code': '20737', 'country': 'US', 'state': 'MD', 'display_address': ['6202 Rhode Island Ave', 'Ste 116', 'Riverdale Park, MD 20737']}",+12408253868
Jjwhw-iyZqf9WFiaHDLkow,Qu Japan,"[{'alias': 'japanese', 'title': 'Japanese'}]","['delivery', 'pickup']",$$,4.0,176,"{'address1': '7406 Baltimore Ave', 'address2': None, 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['7406 Baltimore Ave', 'College Park, MD 20740']}",+12404673332
t4LyRvg981hETv1UPEdwwQ,Mr. Fries Man,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","['delivery', 'pickup']",$$,4.0,58,"{'address1': '8147 Baltimore Ave', 'address2': 'Ste D', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8147 Baltimore Ave', 'Ste D', 'College Park, MD 20740']}",
J5ZT1M1eimsa2cwS-jMx8A,Hanami,"[{'alias': 'japanese', 'title': 'Japanese'}]","['delivery', 'pickup']",$$,3.5,252,"{'address1': '8145 Baltimore Ave', 'address2': 'Ste M', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8145 Baltimore Ave', 'Ste M', 'College Park, MD 20740']}",+13019829899
m1rM6p-LfHdbVpUsq04ZTg,Timber Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]",['delivery'],$$,4.5,536,"{'address1': '809 Upshur St NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20011', 'country': 'US', 'state': 'DC', 'display_address': ['809 Upshur St NW', 'Washington, DC 20011']}",+12028539746
QjYuCMuQzgTjXpgNU-K60g,Vigilante Coffee,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",['delivery'],$$,4.0,170,"{'address1': '8200 Baltimore Ave', 'address2': '', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8200 Baltimore Ave', 'College Park, MD 20740']}",+13012201016
Znl2P0iZNNHXxvf5jQRKAg,Shagga Coffee & Restaurant,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","['delivery', 'pickup']",$$,4.5,407,"{'address1': '6040 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'Hyattsville', 'zip_code': '20781', 'country': 'US', 'state': 'MD', 'display_address': ['6040 Baltimore Ave', 'Hyattsville, MD 20781']}",+12402963030
-b8N_HrKbq2g7OVphh62Nw,Mission BBQ,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",['delivery'],$$,4.0,291,"{'address1': '5506 Cherrywood Ln', 'address2': '', 'address3': '', 'city': 'Greenbelt', 'zip_code': '20770', 'country': 'US', 'state': 'MD', 'display_address': ['5506 Cherrywood Ln', 'Greenbelt, MD 20770']}",+12405429200
5oL1yc-UdQW23kpQvIcidQ,Menomale Pizza Napoletana,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",['delivery'],$$,4.5,571,"{'address1': '2711 12th St NE', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20018', 'country': 'US', 'state': 'DC', 'display_address': ['2711 12th St NE', 'Washington, DC 20018']}",+12022483946
spBkfumTxXwpVR5-Dwy7bg,Mi Cuba Cafe,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","['delivery', 'pickup']",$$,4.5,738,"{'address1': '1424 Park Rd NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20010', 'country': 'US', 'state': 'DC', 'display_address': ['1424 Park Rd NW', 'Washington, DC 20010']}",+12028133489
z-5DstNTtgOdQIyqmzMXWg,Seven Reasons,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",['delivery'],$$$,4.5,413,"{'address1': '2208 14th St NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['2208 14th St NW', 'Washington, DC 20009']}",+12024178563
Zvo_vQ-6gX5A-8OA-jutkA,Menya Hosaki,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}]",[],$$,4.5,283,"{'address1': '845 Upshur St NW', 'address2': 'Fl 1', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20011', 'country': 'US', 'state': 'DC', 'display_address': ['845 Upshur St NW', 'Fl 1', 'Washington, DC 20011']}",+13018187650
qa3NxPFkedBH0UQw-K22eA,Blaze Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","['delivery', 'pickup']",$$,4.0,265,"{'address1': '7419 Baltimore Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['7419 Baltimore Ave', 'College Park, MD 20740']}",+13013922324
bdb85Aq7xN9gajZs5xAi5w,Federalist Pig,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","['delivery', 'pickup']",$$,4.5,751,"{'address1': '1654 Columbia Rd NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20009', 'country': 'US', 'state': 'DC', 'display_address': ['1654 Columbia Rd NW', 'Washington, DC 20009']}",
8MObDyLiiMgzsx2TT_w92g,All Set Restaurant & Bar,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bbq', 'title': 'Barbeque'}]","['delivery', 'pickup']",$$,4.0,1025,"{'address1': '8630 Fenton St', 'address2': '', 'address3': '', 'city': 'Silver Spring', 'zip_code': '20910', 'country': 'US', 'state': 'MD', 'display_address': ['8630 Fenton St', 'Silver Spring, MD 20910']}",+13014958800
TFzooMiqhZKceHYP3ATcqw,Seoul Food DC,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'noodles', 'title': 'Noodles'}]",['delivery'],$$,4.5,484,"{'address1': '7302 Carroll Ave', 'address2': '', 'address3': '', 'city': 'Takoma Park', 'zip_code': '20912', 'country': 'US', 'state': 'MD', 'display_address': ['7302 Carroll Ave', 'Takoma Park, MD 20912']}",+15712364750
2awGWwpPaU-dBQ7GemIYig,Roaming Rooster,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",['delivery'],$$,4.5,613,"{'address1': '3176 Bladensburg Rd NE', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20018', 'country': 'US', 'state': 'DC', 'display_address': ['3176 Bladensburg Rd NE', 'Washington, DC 20018']}",+12025078734
gG0BoUNK3DFt_KGBV46dQw,Cuppa Tea,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]","['delivery', 'pickup']",,4.5,72,"{'address1': '8700 Baltimore Ave', 'address2': 'Unit- G115B', 'address3': None, 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['8700 Baltimore Ave', 'Unit- G115B', 'College Park, MD 20740']}",
UzygjQQQpbp2OxjCVxjP0A,Krazi Kebob,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'pakistani', 'title': 'Pakistani'}]","['delivery', 'pickup']",$,4.0,270,"{'address1': '5110 Roanoke Pl', 'address2': 'Ste 102', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['5110 Roanoke Pl', 'Ste 102', 'College Park, MD 20740']}",+13018645150
7Rias6Np7FHE-MnTlEDOmg,Trattoria Da Lina,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bars', 'title': 'Bars'}]",['delivery'],$$,4.5,213,"{'address1': '7000 Carroll Ave', 'address2': '', 'address3': None, 'city': 'Takoma Park', 'zip_code': '20912', 'country': 'US', 'state': 'MD', 'display_address': ['7000 Carroll Ave', 'Takoma Park, MD 20912']}",+13019202600
PQcklV-B4_M4Z-6DVYrDCg,Moreland's Tavern,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","['delivery', 'pickup']",$$,4.5,179,"{'address1': '5501 14th St NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20011', 'country': 'US', 'state': 'DC', 'display_address': ['5501 14th St NW', 'Washington, DC 20011']}",+12022480491
Bq9ywSteEp_7ZgPGktbM9w,NuVegan Café,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","['delivery', 'pickup']",$$,4.5,1308,"{'address1': '2928 Georgia Ave NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['2928 Georgia Ave NW', 'Washington, DC 20001']}",+12022321700
rn2wIim67zoJdWiXVLN3og,Samantha's Restaurant,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}]",['delivery'],$$,4.0,345,"{'address1': '631 University Blvd E', 'address2': '', 'address3': '', 'city': 'Silver Spring', 'zip_code': '20901', 'country': 'US', 'state': 'MD', 'display_address': ['631 University Blvd E', 'Silver Spring, MD 20901']}",+13014457300
hBNrQ3gtz6o0UM9xjlfy-w,Swahili Village,"[{'alias': 'african', 'title': 'African'}]","['pickup', 'delivery']",$$$,4.0,426,"{'address1': '10800 Rhode Island Ave', 'address2': 'Ste N', 'address3': '', 'city': 'Beltsville', 'zip_code': '20705', 'country': 'US', 'state': 'MD', 'display_address': ['10800 Rhode Island Ave', 'Ste N', 'Beltsville, MD 20705']}",+12409657651
-3yie49A7fVfYRIu8snY_g,Mr Braxton Bar & Kitchen,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",[],$$,4.0,580,"{'address1': '3632 Georgia Ave NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20010', 'country': 'US', 'state': 'DC', 'display_address': ['3632 Georgia Ave NW', 'Washington, DC 20010']}",+12028824555
iVKScd2o9FuIqFt6uWwgzw,Manila Mart,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}]",[],$$,4.5,207,"{'address1': '5023 Garrett Ave', 'address2': '', 'address3': '', 'city': 'Beltsville', 'zip_code': '20705', 'country': 'US', 'state': 'MD', 'display_address': ['5023 Garrett Ave', 'Beltsville, MD 20705']}",+13019310086
H5Hn9u-1LPhy0mGTxv8hXQ,Spice Kitchen West African Grill,"[{'alias': 'african', 'title': 'African'}]","['pickup', 'delivery']",,4.5,89,"{'address1': '3809 Rhode Island Ave', 'address2': None, 'address3': '', 'city': 'Brentwood', 'zip_code': '20722', 'country': 'US', 'state': 'MD', 'display_address': ['3809 Rhode Island Ave', 'Brentwood, MD 20722']}",+12022801491
jKdHQTadfPzPB8RK-6zhOA,Caribbean Cove,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","['pickup', 'delivery']",$$,4.5,40,"{'address1': '9348 Cherry Hill Rd', 'address2': '', 'address3': 'Seven Spring Apartment Marketplace', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['9348 Cherry Hill Rd', 'Seven Spring Apartment Marketplace', 'College Park, MD 20740']}",+12405424965
AW5Fiwvyg7xNH1oUBbi7pQ,The Big Greek Cafe,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","['pickup', 'delivery']",$,4.5,860,"{'address1': '8213 Georgia Ave', 'address2': '', 'address3': '', 'city': 'Silver Spring', 'zip_code': '20910', 'country': 'US', 'state': 'MD', 'display_address': ['8213 Georgia Ave', 'Silver Spring, MD 20910']}",+13015874733
eh8JuWXE_j3uH3Q0WnjO5A,Jodeem African Cuisine,"[{'alias': 'african', 'title': 'African'}]","['pickup', 'delivery']",$$,4.5,111,"{'address1': '6000 Greenbelt Rd', 'address2': '', 'address3': 'Greenbelt Mall', 'city': 'Greenbelt', 'zip_code': '20770', 'country': 'US', 'state': 'MD', 'display_address': ['6000 Greenbelt Rd', 'Greenbelt Mall', 'Greenbelt, MD 20770']}",+13013452674
6gLOmtYveXe1_YPdo-T9rw,Los Hermanos,"[{'alias': 'dominican', 'title': 'Dominican'}]","['pickup', 'delivery']",$$,4.5,611,"{'address1': '1426 Park Rd NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20010', 'country': 'US', 'state': 'DC', 'display_address': ['1426 Park Rd NW', 'Washington, DC 20010']}",+12024838235
i55kAEJYItDVAf0xgEBP2w,Pennyroyal Station,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","['pickup', 'delivery']",$$,4.5,177,"{'address1': '3310 Rhode Island Ave', 'address2': '', 'address3': None, 'city': 'Mount Rainier', 'zip_code': '20712', 'country': 'US', 'state': 'MD', 'display_address': ['3310 Rhode Island Ave', 'Mount Rainier, MD 20712']}",+12407708579
5zAgEF2nxNUAdZQDrqbtlQ,Da Rae Won Restaurant,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",['delivery'],$$,4.5,489,"{'address1': '5013 Garrett Ave', 'address2': '', 'address3': '', 'city': 'Beltsville', 'zip_code': '20705', 'country': 'US', 'state': 'MD', 'display_address': ['5013 Garrett Ave', 'Beltsville, MD 20705']}",+13019317878
7X7Pz9TZ7ToCku9SE-toJw,Aroy Thai Restaurant,"[{'alias': 'thai', 'title': 'Thai'}]","['pickup', 'delivery']",$$,4.0,313,"{'address1': '4511 College Ave', 'address2': '', 'address3': '', 'city': 'College Park', 'zip_code': '20740', 'country': 'US', 'state': 'MD', 'display_address': ['4511 College Ave', 'College Park, MD 20740']}",+13018645550
